"Machine","Hashrate","Power","Algorithm"
"ElphaPex DG 1+",14000000000000,3920,"LTC",
"Goldshell AL BOX II Plus",1000000000000,360,"LTC",
"VolcMiner D1",17000000000000,3900,"LTC",
"Bitmain KS5",20000000000000,3000,"KAS",
"ElphaPex DG",11000000000000,3420,"LTC",
"Bitmain Antminer AL1 Pro",16600000000000,3730,"LTC",
"Whatsminer M30S",96000000000000,3290,"BTC",
"Bitmain Antminer AL1",15600000000000,3510,"LTC",
"Bitmain Antminer S19",90000000000000,2967,"BTC",
"Bitmain Antminer L7 (9.16Gh)",9160000000,3420,"ALPH",
"Goldshell E-AL1M",4400000000000,1800,"LTC",
"Bitmain Antminer S19K PRO",120000000000000,2760,"BTC",
"Bitmain S19 Hydro",184000000000000,5345.6,"BTC",
"Antminer S19 XP Hyd",255000000000000,5304,"BTC",
"Bitmain Antminer L7 (9.05Gh)",9050000000,3420,"ALPH",
"Bitmain Antminer S21e XP Hyd 3U",860000000000000,11180,"BTC",
"Bitmain S21 XP 270T BTC MINER",270000000000000,3650,"BTC",
"Bitmain S19XP 134T",134000000000000,3010,"BTC",
"Bitmain S19XP 141T",141000000000000,3010,"BTC",
"Bitmain T21 Triphasé",190000000000000,3600,"BTC",
"Bitmain S21",195000000000000,3400,"BTC",
"Bitmain Antminer L9 (17Gh/s)",17000000000,3260,"ALPH",
"Avalon A1166 PRO 81T",81000000000000,3400,"BTC",
"Bitmain KS5 PRO",21000000000000,3150,"KAS",
"VolcMiner D1",17000000000,3900,"ALPH",
"Avalon 1246 85T",85000000000000,3420,"BTC",
"Iceriver KS0 ULTRA ",400000000000,100,"KAS",
"Goldshell AL-BOX II",720000000000,360,"LTC",
"IceRiver KS5L",12000000000000,3400,"KAS",
"Bitmain Antminer L7 (9.3Gh)",9300000000,3420,"ALPH",
"Bitmain Antminer L7 (8.8Gh)",8800000000,3420,"ALPH",
"Avalon 1266 96T",96000000000000,3420,"BTC",
"IceRiver AL3",15000000000000,3500,"LTC",
"Whatsminer M50 118T",118000000000000,3306,"BTC",
"Bitmain Antminer L7 (9.5Gh)",9500000000,3420,"ALPH",
"Bitmain Antminer L9 (16Gh/s)",16000000000,3350,"ALPH",
"Whatsminer M30 100T",100000000000000,3400,"BTC",
"Goldshell KA BOX",180000000000,400,"KAS",
